anime_id,eng_version,Score,Genres,Episodes,Type,Premiered,Members
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.72,"Action, Historical, Demons, Supernatural, Shounen",1,Movie,,341006
1575,Code Geass:Lelouch of the Rebellion,8.72,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School",25,TV,Fall 2006,1583882
164,Princess Mononoke,8.72,"Action, Adventure, Fantasy",1,Movie,,876813
37521,Vinland Saga,8.71,"Action, Adventure, Drama, Historical, Seinen",24,TV,Summer 2019,671949
245,Great Teacher Onizuka,8.7,"Slice of Life, Comedy, Drama, School, Shounen",43,TV,Summer 1999,589324
457,Mushi-Shi,8.69,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",26,TV,Fall 2005,620736
38329,Rascal Does Not Dream of a Dreaming Girl,8.68,"Supernatural, Drama, Romance, School",1,Movie,,359086
5258,Fighting Spirit:New Challenger,8.67,"Comedy, Sports, Drama, Shounen",26,TV,Winter 2009,201421
2921,Rocky Joe 2,8.67,"Action, Drama, Shounen, Slice of Life, Sports",47,TV,Fall 1980,30192
431,Howl's Moving Castle,8.67,"Adventure, Drama, Fantasy, Romance",1,Movie,,847414
11665,Natsume's Book of Friends Season 4,8.67,"Slice of Life, Demons, Supernatural, Drama, Shoujo",13,TV,Winter 2012,193052
2001,Gurren Lagann,8.66,"Action, Adventure, Comedy, Mecha, Sci-Fi",27,TV,Spring 2007,1213765
7311,The Disappearance of Haruhi Suzumiya,8.65,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",1,Movie,,486871
37779,The Promised Neverland,8.65,"Sci-Fi, Mystery, Horror, Psychological, Thriller, Shounen",12,TV,Winter 2019,1133952
37987,Violet Evergarden Movie,8.65,"Slice of Life, Drama, Fantasy",1,Movie,,189859
34591,Natsume's Book of Friends Season 6,8.65,"Slice of Life, Demons, Supernatural, Drama, Shoujo",11,TV,Spring 2017,134852
12355,Wolf Children,8.64,"Fantasy, Slice of Life",1,Movie,,616049
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.64,"Psychological, Drama, Thriller, Fantasy",12,TV,Winter 2021,342829
33352,Violet Evergarden,8.64,"Slice of Life, Drama, Fantasy",13,TV,Winter 2018,1039300
22135,Ping Pong the Animation,8.63,"Drama, Psychological, Seinen, Sports",11,TV,Spring 2014,265774
1535,Death Note,8.63,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",37,TV,Fall 2006,2589552
28957,Mushishi Zoku Shou: Suzu no Shizuku,8.63,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",1,Movie,,96435
38000,Demon Slayer:Kimetsu no Yaiba,8.62,"Action, Demons, Historical, Shounen, Supernatural",26,TV,Spring 2019,1423778
31757,Kizumonogatari Part 2:Nekketsu,8.61,"Action, Mystery, Supernatural, Vampire",1,Movie,,305408
37991,JoJo's Bizarre Adventure:Golden Wind,8.61,"Action, Adventure, Shounen",39,TV,Fall 2018,542642
38474,Laid-Back Camp,8.61,"Slice of Life, Comedy",13,TV,Winter 2021,101971
7785,The Tatami Galaxy,8.61,"Mystery, Comedy, Psychological, Romance",11,TV,Spring 2010,307558
19647,Hajime No Ippo:The Fighting!,8.6,"Comedy, Sports, Drama, Shounen",25,TV,Fall 2013,175315
42897,Horimiya,8.6,"Slice of Life, Comedy, Romance, School, Shounen",13,TV,Winter 2021,363936
28735,Showa Genroku Rakugo Shinju,8.6,"Drama, Historical, Josei",13,TV,Winter 2016,223244
10379,Natsume's Book of Friends Season 3,8.6,"Slice of Life, Demons, Supernatural, Drama, Shoujo",13,TV,Summer 2011,200904
36098,I want to eat your pancreas,8.59,Drama,1,Movie,,437815
33049,Fate/stay night:Heaven's Feel - II. Lost Butterfly,8.59,"Action, Fantasy, Magic, Supernatural",1,Movie,,200194
35760,Attack on Titan Season 3,8.59,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",12,TV,Summer 2018,1212430
32983,Natsume's Book of Friends Season 5,8.59,"Slice of Life, Demons, Supernatural, Drama, Shoujo",11,TV,Fall 2016,135177
11741,Fate/Zero Season 2,8.59,"Action, Supernatural, Magic, Fantasy",12,TV,Spring 2012,808294
12365,Bakuman.,8.58,"Comedy, Drama, Romance, Shounen",25,TV,Fall 2012,268794
44087,Gintama: The Semi-Final,8.58,"Action, Comedy, Historical, Parody, Samurai, Shounen",2,Special,,19351
44042,Holo Graffiti,8.58,Comedy,,ONA,,18293
30276,One Punch Man,8.57,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",12,TV,Fall 2015,2123866
4565,Gurren Lagann The Movie:The Lights in the Sky are Stars,8.57,"Action, Mecha, Sci-Fi, Space, Super Power",1,Movie,,168762
5300,Natsume's Book of Friends Season 2,8.57,"Slice of Life, Demons, Supernatural, Drama, Shoujo",13,TV,Winter 2009,200649
35839,A Place Further Than The Universe,8.57,"Adventure, Comedy, Drama",13,TV,Winter 2018,344406
21329,The Shadow that Devours the Sun,8.57,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",1,Special,,105796
40776,Haikyuu!!: To the Top 2nd Season,8.57,"Comedy, Sports, Drama, School, Shounen",12,TV,Fall 2020,355906
4282,the Garden of sinners Chapter 5:Paradox Paradigm,8.56,"Action, Mystery, Supernatural, Drama, Romance, Thriller",1,Movie,,188403
40748,Jujutsu Kaisen (TV),8.54,"Action, Demons, Supernatural, School, Shounen",24,TV,Fall 2020,707976
801,Ghost in the Shell:Stand Alone Complex 2nd GIG,8.54,"Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen",26,TV,Winter 2004,191690
40417,Fruits Basket 2nd Season,8.54,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",25,TV,Spring 2020,197274
30654,Assassination Classroom Second Season,8.54,"Action, Comedy, School, Shounen",25,TV,Winter 2016,899476
3297,Aria the Origination,8.53,"Sci-Fi, Slice of Life, Fantasy, Shounen",13,TV,Winter 2008,98196
35843,Gintama.:Slip Arc,8.53,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",13,TV,Fall 2017,127958
20583,Haikyu!!,8.53,"Comedy, Sports, Drama, School, Shounen",25,TV,Spring 2014,1185274
170,Slam Dunk,8.53,"Comedy, Drama, School, Shounen, Sports",101,TV,Fall 1993,201203
37379,Chihayafuru 3,8.52,"Game, Slice of Life, Sports, Drama, School, Josei",24,TV,Fall 2019,88901
21,One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",,TV,Fall 1999,1352724
38040,KONOSUBA -God's blessing on this wonderful world!- Legend of Crimson,8.52,"Adventure, Comedy, Fantasy, Magic, Parody, Supernatural",1,Movie,,418555
12431,Space Brothers,8.52,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",99,TV,Spring 2012,150428
6114,Rainbow,8.52,"Drama, Historical, Seinen, Thriller",26,TV,Spring 2010,304557
7472,Gintama:The Movie,8.52,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",1,Movie,,116327
30484,Steins;Gate 0,8.51,"Sci-Fi, Thriller",23,TV,Spring 2018,590847
578,Grave of the Fireflies,8.51,"Drama, Historical",1,Movie,,438214
31933,JoJo's Bizarre Adventure:Diamond is Unbreakable,8.51,"Action, Adventure, Comedy, Supernatural, Drama, Shounen",39,TV,Spring 2016,625022
32,Neon Genesis Evangelion:The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",1,Movie,,572080
205,Samurai Champloo,8.5,"Action, Adventure, Comedy, Historical, Samurai, Shounen",26,TV,Spring 2004,892196
39587,Re:ZERO -Starting Life in Another World- Season 2,8.5,"Psychological, Drama, Thriller, Fantasy",13,TV,Summer 2020,614588
11577,Steins;Gate:The Movie − Load Region of Déjà Vu,8.5,"Sci-Fi, Drama",1,Movie,,446967
37208,Mo Dao Zu Shi,8.5,"Action, Adventure, Mystery, Historical, Supernatural",15,ONA,,131604
36999,Zoku Owarimonogatari,8.5,"Mystery, Comedy, Supernatural, Vampire",6,Movie,,146843
32182,Mob Psycho 100,8.49,"Action, Slice of Life, Comedy, Supernatural",12,TV,Summer 2016,1255830
33,Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",25,TV,Fall 1997,432190
10165,Nichijou - My Ordinary Life,8.48,"Slice of Life, Comedy, School, Shounen",26,TV,Spring 2011,647924
437,Perfect Blue,8.48,"Dementia, Drama, Horror, Psychological",1,Movie,,393287
36885,Saenai Heroine no Sodatekata Fine,8.48,"Harem, Comedy, Romance, Ecchi, School",1,Movie,,87828
16498,Attack on Titan,8.48,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",25,TV,Spring 2013,2531397
34612,The Disastrous Life of Saiki K. 2,8.48,"Slice of Life, Comedy, Supernatural, School, Shounen",24,TV,Winter 2018,349764
877,Nana,8.46,"Music, Slice of Life, Comedy, Drama, Romance, Shoujo",47,TV,Spring 2006,403296
40059,Golden Kamuy Season 3,8.46,"Action, Adventure, Historical, Seinen",12,TV,Fall 2020,75226
31181,Owarimonogatari,8.46,"Mystery, Comedy, Supernatural, Vampire",12,TV,Fall 2015,356371
24687,Mushishi Path of Thorns,8.46,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",1,Special,,77296
39547,My Teen Romantic Comedy SNAFU Climax!,8.46,"Slice of Life, Comedy, Drama, Romance, School",12,TV,Summer 2020,390621
25777,Attack on Titan Season 2,8.45,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",12,TV,Spring 2017,1591506
36649,Banana Fish,8.45,"Action, Adventure, Drama, Shoujo",24,TV,Summer 2018,415468
392,Yu Yu Hakusho:Ghost Files,8.45,"Action, Comedy, Demons, Supernatural, Martial Arts, Shounen",112,TV,Fall 1992,475397
37965,Run with the Wind,8.45,"Comedy, Sports, Drama",23,TV,Fall 2018,196221
26055,JoJo's Bizarre Adventure:Stardust Crusaders - Battle in Egypt,8.45,"Action, Adventure, Supernatural, Drama, Shounen",24,TV,Winter 2015,641298
5028,Major S5,8.45,"Comedy, Drama, Romance, Shounen, Sports",25,TV,Winter 2009,57160
467,Ghost in the Shell:Stand Alone Complex,8.45,"Action, Military, Sci-Fi, Police, Mecha, Seinen",26,TV,Fall 2002,326394
33255,The Disastrous Life of Saiki K.,8.45,"Comedy, School, Shounen, Slice of Life, Supernatural",120,TV,Summer 2016,591140
35851,Maquia:When the Promised Flower Blooms,8.45,"Drama, Fantasy",1,Movie,,244902
42984,Gotcha!,8.44,"Music, Fantasy",1,Music,,14082
21899,Gintama: Yorinuki Gintama-san on Theater 2D,8.44,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",2,Movie,,31786
5205,the Garden of sinners Chapter 7:Murder Speculation Part B,8.44,"Action, Mystery, Supernatural, Romance, Thriller",1,Movie,,165332
11981,Puella Magi Madoka Magica the Movie:Rebellion,8.44,"Mystery, Psychological, Drama, Magic, Thriller",1,Movie,,287972
38450,Mo Dao Zu Shi 2nd Season,8.43,"Action, Mystery, Historical, Supernatural",8,ONA,,53802
10162,Bunny Drop,8.43,"Slice of Life, Josei",11,TV,Summer 2011,391626
14397,Chihayafuru 2,8.43,"Drama, Game, Josei, School, Slice of Life, Sports",25,TV,Winter 2013,183624
5941,Cross Game,8.43,"Comedy, Drama, Romance, School, Shounen, Sports",50,TV,Spring 2009,100414
38889,Kono Oto Tomare!:Sounds of Life Season 2,8.43,"Drama, Music, Romance, School, Shounen",13,TV,Fall 2019,82333
31646,March comes in like a lion,8.43,"Drama, Game, Seinen, Slice of Life",22,TV,Fall 2016,461713
37999,Kaguya-sama:Love is War,8.43,"Comedy, Psychological, Romance, School, Seinen",12,TV,Winter 2019,925543
2251,Baccano!,8.42,"Action, Comedy, Historical, Mystery, Supernatural",13,TV,Summer 2007,714937
136,Hunter x Hunter,8.42,"Action, Adventure, Super Power, Fantasy, Shounen",62,TV,Fall 1999,416227
2246,Mononoke,8.42,"Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen",12,TV,Summer 2007,215972
9989,anohana:The Flower We Saw That Day,8.42,"Slice of Life, Supernatural, Drama",11,TV,Spring 2011,1157747
22789,Barakamon,8.41,"Comedy, Slice of Life",12,TV,Summer 2014,503396
37105,Grand Blue Dreaming,8.41,"Slice of Life, Comedy, Seinen",12,TV,Summer 2018,421403
35557,Land of the Lustrous,8.41,"Action, Drama, Fantasy, Mystery, Seinen",12,TV,Fall 2017,304278
32366,Gintama°: Aizome Kaori-hen,8.41,"Comedy, Parody",2,OVA,,59412
38826,Weathering With You,8.41,"Slice of Life, Drama, Romance, Fantasy",1,Movie,,475388
36538,Natsume Yujin-cho the Movie:Ephemeral Bond,8.41,"Demons, Drama, Shoujo, Slice of Life, Supernatural",1,Movie,,45120
40682,Kingdom 3rd Season,8.4,"Action, Historical, Military, Seinen",,TV,Spring 2020,39329
572,Nausicaä of the Valley of the Wind,8.4,"Adventure, Fantasy",1,Movie,,278500
36275,Natsume Yuujinchou Roku Specials,8.4,"Slice of Life, Demons, Supernatural, Drama, Shoujo",2,Special,,32238
22535,Parasyte -the maxim-,8.4,"Action, Sci-Fi, Horror, Psychological, Drama, Seinen",24,TV,Fall 2014,1243239
777,Hellsing Ultimate,8.4,"Action, Military, Horror, Supernatural, Vampire, Seinen",10,OVA,,676023
9260,Kizumonogatari Part 1:Tekketsu,8.4,Vampire,1,Movie,,371083
10030,Bakuman.,8.4,"Comedy, Drama, Romance, Shounen",25,TV,Fall 2011,289356
39741,Violet Evergarden I:Eternity and the Auto Memory Doll,8.4,"Slice of Life, Drama, Fantasy",1,Movie,,184398
17389,Kingdom:Season 2,8.39,"Action, Military, Historical, Seinen",39,TV,Summer 2013,79350
11979,Puella Magi Madoka Magica the Movie Part 2:Eternal,8.39,"Drama, Magic, Psychological, Thriller",1,Movie,,162794
5,Cowboy Bebop:The Movie,8.39,"Action, Drama, Mystery, Sci-Fi, Space",1,Movie,,273145
38883,Haikyuu!!: To the Top,8.39,"Comedy, Sports, Drama, School, Shounen",13,TV,Winter 2020,470208
9756,Puella Magi Madoka Magica,8.38,"Psychological, Drama, Magic, Thriller",12,TV,Winter 2011,971621
37450,Rascal Does Not Dream of Bunny Girl Senpai,8.38,"Comedy, Supernatural, Drama, Romance, School",13,TV,Fall 2018,940033
25781,Shingeki no Kyojin: Kuinaki Sentaku,8.38,"Action, Fantasy, Shoujo",2,OVA,,323012
13601,Psycho-Pass,8.38,"Action, Sci-Fi, Police, Psychological",22,TV,Fall 2012,1211503
7655,Major S6,8.38,"Comedy, Drama, Shounen, Sports",25,TV,Spring 2010,50558
10408,Hotarubi no Mori e,8.38,"Drama, Romance, Shoujo, Supernatural",1,Movie,,567617
40052,Great Pretender,8.38,"Action, Adventure, Mystery, Comedy, Psychological",23,ONA,,273035
12029,Star Blazers:Space Battleship Yamato 2199,8.37,"Action, Military, Sci-Fi, Space, Drama",26,OVA,,92324
31043,ERASED,8.37,"Mystery, Psychological, Supernatural, Seinen",12,TV,Winter 2016,1359119
30709,Kamisama Hajimemashita: Kako-hen,8.37,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo",4,OVA,,116128
39535,Mushoku Tensei:Jobless Reincarnation,8.37,"Drama, Magic, Fantasy",11,TV,Winter 2021,319654
12531,Kids on the Slope,8.36,"Drama, Josei, Music, Romance, School",12,TV,Spring 2012,284901
5341,Spice and Wolf II,8.36,"Adventure, Historical, Romance, Fantasy",12,TV,Summer 2009,395939
10937,Mobile Suit Gundam:The Origin,8.36,"Action, Mecha, Military, Sci-Fi, Shounen, Space",6,OVA,,51377
5081,Bakemonogatari,8.36,"Romance, Supernatural, Mystery, Vampire",15,TV,Summer 2009,1063666
6594,Katanagatari,8.36,"Action, Adventure, Historical, Martial Arts, Romance",12,TV,Winter 2010,442694
40211,The Legend of Hei,8.35,"Adventure, Drama, Fantasy",1,Movie,,7427
3784,Evangelion:2.0 You Can (Not) Advance,8.35,"Action, Sci-Fi, Psychological, Drama, Mecha",1,Movie,,350947
5420,Erin,8.35,"Drama, Fantasy, Slice of Life",50,TV,Winter 2009,68946
11917,Major: World Series,8.35,"Comedy, Drama, Shounen, Sports",2,OVA,,29532
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.35,"Slice of Life, Demons, Supernatural, Drama, Shoujo",1,OVA,,62641
13125,From the New World,8.35,"Drama, Horror, Mystery, Psychological, Sci-Fi, Supernatural",25,TV,Fall 2012,619318
5040,One Outs,8.35,"Sports, Psychological, Seinen",25,TV,Fall 2008,182471
25835,Shirobako,8.35,"Comedy, Drama",24,TV,Fall 2014,349479
2559,Romeo and the Black Brothers,8.35,"Adventure, Drama, Historical, Slice of Life",33,TV,Winter 1995,36828
39808,Non Non Biyori Nonstop,8.35,"Slice of Life, Comedy, Seinen",12,TV,Winter 2021,47968
486,Kino's Journey,8.34,"Action, Adventure, Psychological, Slice of Life",13,TV,Spring 2003,223758
10863,Steins;Gate:Egoistic Poriomania,8.34,"Sci-Fi, Comedy, Thriller",1,Special,,338678
38691,Dr. Stone,8.34,"Sci-Fi, Adventure, Shounen",24,TV,Summer 2019,945133
6945,Gintama: Shiroyasha Koutan,8.34,"Action, Sci-Fi, Comedy, Historical, Parody",1,Special,,53216
24415,Kuroko's Basketball 3,8.34,"Comedy, Sports, School, Shounen",25,TV,Winter 2015,506465
37515,Made in Abyss Movie 2: Hourou Suru Tasogare,8.34,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",1,Movie,,61975
34240,Shelter,8.34,"Sci-Fi, Music",1,Music,,265646
10087,Fate/Zero,8.34,"Action, Supernatural, Magic, Fantasy",13,TV,Fall 2011,1090273
9617,K-ON! The Movie,8.33,"Music, Slice of Life, Comedy",1,Movie,,238850
40730,Tian Guan Ci Fu,8.33,"Action, Adventure, Historical, Supernatural, Drama",11,ONA,,35242
1210,Welcome to the N.H.K.,8.33,"Comedy, Psychological, Drama, Romance",24,TV,Summer 2006,550365
28701,Fate/stay night [Unlimited Blade Works] Season 2,8.33,"Action, Fantasy, Magic, Supernatural",13,TV,Spring 2015,605173
28805,The Boy and the Beast,8.33,"Adventure, Supernatural",1,Movie,,306149
338,The Rose of Versailles,8.33,"Military, Historical, Drama, Romance, Shoujo",40,TV,Fall 1979,68422
33486,My Hero Academia 2,8.33,"Action, Comedy, Super Power, School, Shounen",25,TV,Spring 2017,1611771
4081,Natsume's Book of Friends,8.33,"Slice of Life, Demons, Supernatural, Drama, Shoujo",13,TV,Summer 2008,412285
34534,Natsume Yuujinchou Go Specials,8.33,"Slice of Life, Demons, Supernatural, Drama, Shoujo",2,Special,,32553
137,Hunter x Hunter: Original Video Animation,8.33,"Action, Adventure, Super Power, Shounen",8,OVA,,101579
44235,Pui Pui Molcar,8.33,Kids,,TV,Winter 2021,3418
30230,Ace of Diamond:Second Season,8.32,"Comedy, Sports, School, Shounen",51,TV,Spring 2015,101140
39533,Given,8.32,"Drama, Music, Romance, Shounen Ai, Slice of Life",11,TV,Summer 2019,260768
43299,Wonder Egg Priority,8.32,"Psychological, Drama, Fantasy",12,TV,Winter 2021,222725
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",26,TV,Fall 1995,1160651
1698,Nodame Cantabile,8.32,"Music, Slice of Life, Comedy, Drama, Romance, Josei",23,TV,Winter 2007,262005
37095,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.32,"Drama, Fantasy, Slice of Life",1,Special,,181036
30346,Doukyusei -Classmates-,8.32,"Slice of Life, Romance, School, Shounen Ai",1,Movie,,157724
33674,No Game No Life: Zero,8.32,"Game, Supernatural, Drama, Romance, Fantasy",1,Movie,,608820
2685,Tsubasa RESERVoir CHRoNiCLE:Tokyo Revelations,8.31,"Action, Adventure, Drama, Romance, Fantasy, Shounen",3,OVA,,82168
523,My Neighbor Totoro,8.31,"Adventure, Comedy, Supernatural",1,Movie,,721786
513,Castle in the Sky,8.31,"Adventure, Fantasy, Romance, Sci-Fi",1,Movie,,335428
329,Planetes,8.31,"Drama, Romance, Sci-Fi, Seinen, Space",26,TV,Fall 2003,195630
1365,Case Closed:The Phantom of Baker Street,8.31,"Adventure, Mystery, Police, Shounen",1,Movie,,58853
57,Beck:Mongolian Chop Squad,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",26,TV,Fall 2004,255668
37078,The King's Avatar (2018),8.31,"Action, Game",3,ONA,,80149
45,Rurouni Kenshin,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",94,TV,Winter 1996,386195
2418,Sword of the Stranger,8.31,"Action, Adventure, Historical, Samurai",1,Movie,,259852
32937,KonoSuba:God's Blessing on This Wonderful World! 2,8.31,"Adventure, Comedy, Parody, Supernatural, Magic, Fantasy",10,TV,Winter 2017,990857
31988,Sound! Euphonium 2,8.3,"Music, School, Drama",13,TV,Fall 2016,164555
264,Fighting Spirit:Champion Road,8.29,"Comedy, Shounen, Sports",1,Special,,97346
759,Tokyo Godfathers,8.29,"Comedy, Drama",1,Movie,,198233
31240,Re:ZERO -Starting Life in Another World-,8.29,"Psychological, Drama, Thriller, Fantasy",25,TV,Spring 2016,1478842
6675,Redline,8.29,"Action, Sci-Fi, Cars, Sports",1,Movie,,259301
185,Initial D First Stage,8.29,"Action, Cars, Drama, Seinen, Sports",26,TV,Spring 1998,229315
19363,Silver Spoon 2nd Season,8.29,"Comedy, School, Shounen, Slice of Life",11,TV,Winter 2014,120433
28171,Food Wars! Shokugeki no Soma,8.29,"Ecchi, School, Shounen",24,TV,Spring 2015,1167795
43,Ghost in the Shell,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",1,Movie,,468279
40852,Dr. Stone: Stone Wars,8.29,"Sci-Fi, Adventure, Shounen",11,TV,Winter 2021,414084
139,Hunter x Hunter: Greed Island Final,8.29,"Action, Adventure, Super Power, Fantasy, Shounen",14,OVA,,111292
2402,Tomorrow's Joe,8.28,"Action, Drama, Shounen, Slice of Life, Sports",79,TV,Spring 1970,57622
16894,Kuroko's Basketball 2,8.28,"Comedy, Sports, School, Shounen",25,TV,Fall 2013,588404
11843,Daily Lives of High School Boys,8.28,"Slice of Life, Comedy, School",12,TV,Winter 2012,593890
18115,Magi:The Kingdom of Magic,8.28,"Action, Adventure, Magic, Fantasy, Shounen",25,TV,Fall 2013,639860
3002,Kaiji:Ultimate Survivor,8.28,"Game, Psychological, Thriller, Seinen",26,TV,Fall 2007,247228
37055,Saga of Tanya the Evil:The Movie,8.28,"Action, Military, Magic",1,Movie,,160580
23847,My Teen Romantic Comedy SNAFU TOO!,8.27,"Slice of Life, Comedy, Drama, Romance, School",13,TV,Spring 2015,713318
1033,Millennium Actress,8.27,"Action, Adventure, Drama, Fantasy, Historical, Romance",1,Movie,,127210
